,,,,,,
,Domain,Longest Common URL,Level of Extremism,,,
,http://prochoiceabortionblog.blogspot.com/,http://prochoiceabortionblog.blogspot.com/20??/*,,,,
,https://prochoice.org,https://prochoice.org/blog/,,,,
,http://abortioneers.blogspot.com/,http://abortioneers.blogspot.com/20??/*,,,,
,https://abortion.ws/,https://abortion.ws/20??/*,,,,
,https://abortiongang.wordpress.com,https://abortiongang.wordpress.com/20??/*,,,,
,https://abortiongang.wordpress.com,http://feministing.com/20??/*,,,,
,https://everysaturdaymorning.net/,https://everysaturdaymorning.net/20??/*,,,,
,https://prochoicewashington.wordpress.com/,https://prochoicewashington.wordpress.com/20??/*,,,,
,http://abortionconfessions.tumblr.com/,http://abortionconfessions.tumblr.com/post/*,,,,
,https://www.care-net.org/,https://www.care-net.org/*,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
