Domain,Longest Common URL,"Level of Extremeism (for the denoted sentiment, how extreme is this site on a scale of 1 (centrist) to 5 (extremeist)"
http://www.drugpolicy.org/blog,http://www.drugpolicy.org/blog/,
http://newdrugpolicy.org/,http://newdrugpolicy.org/20??/*,
http://drugpolicy.ca/blog,http://drugpolicy.ca/blog/20??/*,
http://www.druglawreform.info/en/weblog,http://www.druglawreform.info/en/site_content/item,
http://blog.norml.org/,http://blog.norml.org/20??/*,
https://blog.mpp.org/,https://blog.mpp.org/,
http://stopthedrugwar.org/,http://stopthedrugwar.org/chronicle/20??/*,
https://ssdp.org/blog/,https://ssdp.org/blog/,
http://www.csdp.org/cms/,http://www.csdp.org/cms/node/,
https://transform-drugs.blogspot.com/,https://transform-drugs.blogspot.com/20??/*,
http://www.finchdiablog.com/,http://www.finchdiablog.com/,
https://marijuanacannabis.wordpress.com/,https://marijuanacannabis.wordpress.com/20??/*,
https://www.hrw.org/blog-feed/rethinking-war-drugs,https://www.hrw.org/blog-feed/rethinking-war-drugs,
